"Fact","Fact Note","Princeton, New Jersey","Value Note for Princeton, New Jersey","United States","Value Note for United States"
"Population Estimates, July 1 2021, (V2021)","","30,872","","331,893,745",""
"Population estimates base, April 1, 2020, (V2021)","","31,026","","331,449,281",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","","-0.5%","","0.1%",""
"Population, Census, April 1, 2020","","30,681","","331,449,281",""
"Population, Census, April 1, 2010","","12,307","","308,745,538",""
"Persons under 5 years, percent","","3.0%","","5.7%",""
"Persons under 18 years, percent","","19.2%","","22.2%",""
"Persons 65 years and over, percent","","15.7%","","16.8%",""
"Female persons, percent","","50.3%","","50.5%",""
"White alone, percent","","71.5%","","75.8%",""
"Black or African American alone, percent","(a)","6.0%","","13.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.0%","","1.3%",""
"Asian alone, percent","(a)","17.2%","","6.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.3%",""
"Two or More Races, percent","","4.5%","","2.9%",""
"Hispanic or Latino, percent","(b)","5.9%","","18.9%",""
"White alone, not Hispanic or Latino, percent","","67.5%","","59.3%",""
"Veterans, 2016-2020","","487","","17,835,456",""
"Foreign born persons, percent, 2016-2020","","29.7%","","13.5%",""
"Housing units, July 1, 2021, (V2021)","","X","","142,153,010",""
"Owner-occupied housing unit rate, 2016-2020","","56.4%","","64.4%",""
"Median value of owner-occupied housing units, 2016-2020","","$872,400","","$229,800",""
"Median selected monthly owner costs -with a mortgage, 2016-2020","","$4,000+","","$1,621",""
"Median selected monthly owner costs -without a mortgage, 2016-2020","","$1,500+","","$509",""
"Median gross rent, 2016-2020","","$1,704","","$1,096",""
"Building permits, 2021","","X","","1,736,982",""
"Households, 2016-2020","","9,806","","122,354,219",""
"Persons per household, 2016-2020","","2.59","","2.60",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2016-2020","","75.2%","","86.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2016-2020","","35.1%","","21.5%",""
"Households with a computer, percent, 2016-2020","","97.5%","","91.9%",""
"Households with a broadband Internet subscription, percent, 2016-2020","","89.0%","","85.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2016-2020","","97.3%","","88.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2016-2020","","84.5%","","32.9%",""
"With a disability, under age 65 years, percent, 2016-2020","","3.3%","","8.7%",""
"Persons  without health insurance, under age 65 years, percent","","1.3%","","9.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2016-2020","","60.7%","","63.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2016-2020","","55.1%","","58.4%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","149,193","","938,237,077",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","408,587","","2,527,903,275",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","4,920","","895,225,411",""
"Total retail sales, 2017 ($1,000)","(c)","776,058","","4,949,601,481",""
"Total retail sales per capita, 2017","(c)","$24,722","","$15,224",""
"Mean travel time to work (minutes), workers age 16 years+, 2016-2020","","26.4","","26.9",""
"Median household income (in 2020 dollars), 2016-2020","","$146,127","","$64,994",""
"Per capita income in past 12 months (in 2020 dollars), 2016-2020","","$75,705","","$35,384",""
"Persons in poverty, percent","","7.1%","","11.6%",""
"Total employer establishments, 2020","","X","","8,000,178",""
"Total employment, 2020","","X","","134,163,349",""
"Total annual payroll, 2020 ($1,000)","","X","","7,564,809,878",""
"Total employment, percent change, 2019-2020","","X","","0.9%",""
"Total nonemployer establishments, 2019","","X","","27,104,006",""
"All employer firms, Reference year 2017","","1,023","","5,744,643",""
"Men-owned employer firms, Reference year 2017","","521","","3,480,438",""
"Women-owned employer firms, Reference year 2017","","228","","1,134,549",""
"Minority-owned employer firms, Reference year 2017","","222","","1,014,958",""
"Nonminority-owned employer firms, Reference year 2017","","559","","4,371,152",""
"Veteran-owned employer firms, Reference year 2017","","S","","351,237",""
"Nonveteran-owned employer firms, Reference year 2017","","773","","4,968,606",""
"Population per square mile, 2020","","1,709.6","","93.8",""
"Population per square mile, 2010","","6,679.2","","87.4",""
"Land area in square miles, 2020","","17.95","","3,533,038.28",""
"Land area in square miles, 2010","","1.84","","3,531,905.43",""
"FIPS Code","","""3460900""","","""1""",""
"","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","",""
"","","","","",""
"Value Notes","","","","",""
"None","","","","",""
"","","","","",""
"Fact Notes","","","","",""
"(a)","Includes persons reporting only one race","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","",""
"","","","","",""
"Value Flags","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","",""
"F","Fewer than 25 firms","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","",""
"FN","Footnote on this item in place of data","","","",""
"X","Not applicable","","","",""
"S","Suppressed; does not meet publication standards","","","",""
"NA","Not available","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","",""
